,Survey wave (calendar quarter),Equivalent financial quarter,Site ID,Location,Survey date,Weather,Time,Period,Direction,Start hour,Start minute,Number of private cycles,Number of cycle hire bikes,Total cycles,date
1829,2017 Q3 (July-September),2017-18 Q2,CENCY001,Millbank (south of Thorney Street),2017-09-04,Dry,15:15:00,Inter-peak (10:00-16:00),Northbound,15,15,8,0,8,2017-09-04 15:15:00
1830,2017 Q3 (July-September),2017-18 Q2,CENCY001,Millbank (south of Thorney Street),2017-09-04,Dry,15:30:00,Inter-peak (10:00-16:00),Northbound,15,30,4,4,8,2017-09-04 15:30:00
1831,2017 Q3 (July-September),2017-18 Q2,CENCY001,Millbank (south of Thorney Street),2017-09-04,Dry,15:45:00,Inter-peak (10:00-16:00),Northbound,15,45,9,2,11,2017-09-04 15:45:00
1832,2017 Q3 (July-September),2017-18 Q2,CENCY001,Millbank (south of Thorney Street),2017-09-04,Dry,16:00:00,PM peak (16:00-19:00),Northbound,16,0,11,1,12,2017-09-04 16:00:00
1833,2017 Q3 (July-September),2017-18 Q2,CENCY001,Millbank (south of Thorney Street),2017-09-04,Dry,16:15:00,PM peak (16:00-19:00),Northbound,16,15,18,2,20,2017-09-04 16:15:00
1834,2017 Q3 (July-September),2017-18 Q2,CENCY001,Millbank (south of Thorney Street),2017-09-04,Dry,16:30:00,PM peak (16:00-19:00),Northbound,16,30,21,5,26,2017-09-04 16:30:00
1835,2017 Q3 (July-September),2017-18 Q2,CENCY001,Millbank (south of Thorney Street),2017-09-04,Dry,16:45:00,PM peak (16:00-19:00),Northbound,16,45,25,4,29,2017-09-04 16:45:00
1836,2017 Q3 (July-September),2017-18 Q2,CENCY001,Millbank (south of Thorney Street),2017-09-04,Dry,17:00:00,PM peak (16:00-19:00),Northbound,17,0,31,7,38,2017-09-04 17:00:00
1837,2017 Q3 (July-September),2017-18 Q2,CENCY001,Millbank (south of Thorney Street),2017-09-04,Dry,17:15:00,PM peak (16:00-19:00),Northbound,17,15,29,5,34,2017-09-04 17:15:00
1838,2017 Q3 (July-September),2017-18 Q2,CENCY001,Millbank (south of Thorney Street),2017-09-04,Dry,17:30:00,PM peak (16:00-19:00),Northbound,17,30,35,7,42,2017-09-04 17:30:00
1839,2017 Q3 (July-September),2017-18 Q2,CENCY001,Millbank (south of Thorney Street),2017-09-04,Dry,17:45:00,PM peak (16:00-19:00),Northbound,17,45,47,10,57,2017-09-04 17:45:00
1840,2017 Q3 (July-September),2017-18 Q2,CENCY001,Millbank (south of Thorney Street),2017-09-04,Dry,18:00:00,PM peak (16:00-19:00),Northbound,18,0,45,12,57,2017-09-04 18:00:00
1841,2017 Q3 (July-September),2017-18 Q2,CENCY001,Millbank (south of Thorney Street),2017-09-04,Dry,18:15:00,PM peak (16:00-19:00),Northbound,18,15,52,9,61,2017-09-04 18:15:00
1842,2017 Q3 (July-September),2017-18 Q2,CENCY001,Millbank (south of Thorney Street),2017-09-04,Dry,18:30:00,PM peak (16:00-19:00),Northbound,18,30,31,6,37,2017-09-04 18:30:00
1843,2017 Q3 (July-September),2017-18 Q2,CENCY001,Millbank (south of Thorney Street),2017-09-04,Dry,18:45:00,PM peak (16:00-19:00),Northbound,18,45,23,4,27,2017-09-04 18:45:00
1844,2017 Q3 (July-September),2017-18 Q2,CENCY001,Millbank (south of Thorney Street),2017-09-04,Dry,19:00:00,Evening (19:00-22:00),Northbound,19,0,18,10,28,2017-09-04 19:00:00
1845,2017 Q3 (July-September),2017-18 Q2,CENCY001,Millbank (south of Thorney Street),2017-09-04,Dry,19:15:00,Evening (19:00-22:00),Northbound,19,15,14,8,22,2017-09-04 19:15:00
1846,2017 Q3 (July-September),2017-18 Q2,CENCY001,Millbank (south of Thorney Street),2017-09-04,Dry,19:30:00,Evening (19:00-22:00),Northbound,19,30,11,5,16,2017-09-04 19:30:00
1847,2017 Q3 (July-September),2017-18 Q2,CENCY001,Millbank (south of Thorney Street),2017-09-04,Dry,19:45:00,Evening (19:00-22:00),Northbound,19,45,7,3,10,2017-09-04 19:45:00
1848,2017 Q3 (July-September),2017-18 Q2,CENCY001,Millbank (south of Thorney Street),2017-09-04,Dry,20:00:00,Evening (19:00-22:00),Northbound,20,0,5,4,9,2017-09-04 20:00:00
1849,2017 Q3 (July-September),2017-18 Q2,CENCY001,Millbank (south of Thorney Street),2017-09-04,Dry,20:15:00,Evening (19:00-22:00),Northbound,20,15,9,0,9,2017-09-04 20:15:00
1850,2017 Q3 (July-September),2017-18 Q2,CENCY001,Millbank (south of Thorney Street),2017-09-04,Dry,20:30:00,Evening (19:00-22:00),Northbound,20,30,7,1,8,2017-09-04 20:30:00
1851,2017 Q3 (July-September),2017-18 Q2,CENCY001,Millbank (south of Thorney Street),2017-09-04,Dry,20:45:00,Evening (19:00-22:00),Northbound,20,45,3,2,5,2017-09-04 20:45:00
1852,2017 Q3 (July-September),2017-18 Q2,CENCY001,Millbank (south of Thorney Street),2017-09-04,Dry,21:00:00,Evening (19:00-22:00),Northbound,21,0,6,0,6,2017-09-04 21:00:00
1853,2017 Q3 (July-September),2017-18 Q2,CENCY001,Millbank (south of Thorney Street),2017-09-04,Dry,21:15:00,Evening (19:00-22:00),Northbound,21,15,2,2,4,2017-09-04 21:15:00
1854,2017 Q3 (July-September),2017-18 Q2,CENCY001,Millbank (south of Thorney Street),2017-09-04,Dry,21:30:00,Evening (19:00-22:00),Northbound,21,30,2,0,2,2017-09-04 21:30:00
1855,2017 Q3 (July-September),2017-18 Q2,CENCY001,Millbank (south of Thorney Street),2017-09-04,Dry,21:45:00,Evening (19:00-22:00),Northbound,21,45,1,0,1,2017-09-04 21:45:00
1920,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Rain,06:00:00,Early Morning (06:00-07:00),Northbound,6,0,3,1,4,2017-12-11 06:00:00
1921,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Rain,06:15:00,Early Morning (06:00-07:00),Northbound,6,15,14,0,14,2017-12-11 06:15:00
1922,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Rain,06:30:00,Early Morning (06:00-07:00),Northbound,6,30,16,0,16,2017-12-11 06:30:00
1923,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Rain,06:45:00,Early Morning (06:00-07:00),Northbound,6,45,23,1,24,2017-12-11 06:45:00
1924,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Rain,07:00:00,AM peak (07:00-10:00),Northbound,7,0,32,2,34,2017-12-11 07:00:00
1925,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Rain,07:15:00,AM peak (07:00-10:00),Northbound,7,15,38,0,38,2017-12-11 07:15:00
1926,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Rain,07:30:00,AM peak (07:00-10:00),Northbound,7,30,44,2,46,2017-12-11 07:30:00
1927,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Rain,07:45:00,AM peak (07:00-10:00),Northbound,7,45,62,3,65,2017-12-11 07:45:00
1928,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,08:00:00,AM peak (07:00-10:00),Northbound,8,0,252,7,259,2017-12-11 08:00:00
1929,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,08:15:00,AM peak (07:00-10:00),Northbound,8,15,302,6,308,2017-12-11 08:15:00
1930,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,08:30:00,AM peak (07:00-10:00),Northbound,8,30,283,5,288,2017-12-11 08:30:00
1931,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,08:45:00,AM peak (07:00-10:00),Northbound,8,45,240,7,247,2017-12-11 08:45:00
1932,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,09:00:00,AM peak (07:00-10:00),Northbound,9,0,157,10,167,2017-12-11 09:00:00
1933,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,09:15:00,AM peak (07:00-10:00),Northbound,9,15,93,4,97,2017-12-11 09:15:00
1934,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,09:30:00,AM peak (07:00-10:00),Northbound,9,30,78,6,84,2017-12-11 09:30:00
1935,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,09:45:00,AM peak (07:00-10:00),Northbound,9,45,46,7,53,2017-12-11 09:45:00
1936,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,10:00:00,Inter-peak (10:00-16:00),Northbound,10,0,23,2,25,2017-12-11 10:00:00
1937,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,10:15:00,Inter-peak (10:00-16:00),Northbound,10,15,11,1,12,2017-12-11 10:15:00
1938,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,10:30:00,Inter-peak (10:00-16:00),Northbound,10,30,9,1,10,2017-12-11 10:30:00
1939,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,10:45:00,Inter-peak (10:00-16:00),Northbound,10,45,7,0,7,2017-12-11 10:45:00
1940,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,11:00:00,Inter-peak (10:00-16:00),Northbound,11,0,7,3,10,2017-12-11 11:00:00
1941,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,11:15:00,Inter-peak (10:00-16:00),Northbound,11,15,11,2,13,2017-12-11 11:15:00
1942,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,11:30:00,Inter-peak (10:00-16:00),Northbound,11,30,10,3,13,2017-12-11 11:30:00
1943,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,11:45:00,Inter-peak (10:00-16:00),Northbound,11,45,9,0,9,2017-12-11 11:45:00
1944,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,12:00:00,Inter-peak (10:00-16:00),Northbound,12,0,10,0,10,2017-12-11 12:00:00
1945,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,12:15:00,Inter-peak (10:00-16:00),Northbound,12,15,12,4,16,2017-12-11 12:15:00
1946,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,12:30:00,Inter-peak (10:00-16:00),Northbound,12,30,10,3,13,2017-12-11 12:30:00
1947,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,12:45:00,Inter-peak (10:00-16:00),Northbound,12,45,9,3,12,2017-12-11 12:45:00
1948,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,13:00:00,Inter-peak (10:00-16:00),Northbound,13,0,10,2,12,2017-12-11 13:00:00
1949,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,13:15:00,Inter-peak (10:00-16:00),Northbound,13,15,9,1,10,2017-12-11 13:15:00
1950,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,13:30:00,Inter-peak (10:00-16:00),Northbound,13,30,14,1,15,2017-12-11 13:30:00
1951,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,13:45:00,Inter-peak (10:00-16:00),Northbound,13,45,7,1,8,2017-12-11 13:45:00
1952,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,14:00:00,Inter-peak (10:00-16:00),Northbound,14,0,5,1,6,2017-12-11 14:00:00
1953,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,14:15:00,Inter-peak (10:00-16:00),Northbound,14,15,8,0,8,2017-12-11 14:15:00
1954,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,14:30:00,Inter-peak (10:00-16:00),Northbound,14,30,7,2,9,2017-12-11 14:30:00
1955,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,14:45:00,Inter-peak (10:00-16:00),Northbound,14,45,8,6,14,2017-12-11 14:45:00
1956,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,15:00:00,Inter-peak (10:00-16:00),Northbound,15,0,7,0,7,2017-12-11 15:00:00
1957,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,15:15:00,Inter-peak (10:00-16:00),Northbound,15,15,11,0,11,2017-12-11 15:15:00
1958,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,15:30:00,Inter-peak (10:00-16:00),Northbound,15,30,2,1,3,2017-12-11 15:30:00
1959,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,15:45:00,Inter-peak (10:00-16:00),Northbound,15,45,9,1,10,2017-12-11 15:45:00
1960,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,16:00:00,PM peak (16:00-19:00),Northbound,16,0,7,0,7,2017-12-11 16:00:00
1961,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,16:15:00,PM peak (16:00-19:00),Northbound,16,15,9,1,10,2017-12-11 16:15:00
1962,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,16:30:00,PM peak (16:00-19:00),Northbound,16,30,11,2,13,2017-12-11 16:30:00
1963,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,16:45:00,PM peak (16:00-19:00),Northbound,16,45,17,0,17,2017-12-11 16:45:00
1964,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,17:00:00,PM peak (16:00-19:00),Northbound,17,0,10,1,11,2017-12-11 17:00:00
1965,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,17:15:00,PM peak (16:00-19:00),Northbound,17,15,21,1,22,2017-12-11 17:15:00
1966,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,17:30:00,PM peak (16:00-19:00),Northbound,17,30,10,1,11,2017-12-11 17:30:00
1967,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,17:45:00,PM peak (16:00-19:00),Northbound,17,45,14,1,15,2017-12-11 17:45:00
1968,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,18:00:00,PM peak (16:00-19:00),Northbound,18,0,15,0,15,2017-12-11 18:00:00
1969,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,18:15:00,PM peak (16:00-19:00),Northbound,18,15,14,1,15,2017-12-11 18:15:00
1970,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,18:30:00,PM peak (16:00-19:00),Northbound,18,30,9,1,10,2017-12-11 18:30:00
1971,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,18:45:00,PM peak (16:00-19:00),Northbound,18,45,4,1,5,2017-12-11 18:45:00
1972,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,19:00:00,Evening (19:00-22:00),Northbound,19,0,13,2,15,2017-12-11 19:00:00
1973,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,19:15:00,Evening (19:00-22:00),Northbound,19,15,2,0,2,2017-12-11 19:15:00
1974,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,19:30:00,Evening (19:00-22:00),Northbound,19,30,3,0,3,2017-12-11 19:30:00
1975,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,19:45:00,Evening (19:00-22:00),Northbound,19,45,6,0,6,2017-12-11 19:45:00
1976,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,20:00:00,Evening (19:00-22:00),Northbound,20,0,0,0,0,2017-12-11 20:00:00
1977,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,20:15:00,Evening (19:00-22:00),Northbound,20,15,3,0,3,2017-12-11 20:15:00
1978,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,20:30:00,Evening (19:00-22:00),Northbound,20,30,5,0,5,2017-12-11 20:30:00
1979,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,20:45:00,Evening (19:00-22:00),Northbound,20,45,2,0,2,2017-12-11 20:45:00
1980,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,21:00:00,Evening (19:00-22:00),Northbound,21,0,4,1,5,2017-12-11 21:00:00
1981,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,21:15:00,Evening (19:00-22:00),Northbound,21,15,4,0,4,2017-12-11 21:15:00
1982,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,21:30:00,Evening (19:00-22:00),Northbound,21,30,2,0,2,2017-12-11 21:30:00
1983,2017 Q4 (October-December),2017-18 Q3,CENCY001,Millbank (south of Thorney Street),2017-12-11,Dry,21:45:00,Evening (19:00-22:00),Northbound,21,45,2,0,2,2017-12-11 21:45:00
2048,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,06:00:00,Early Morning (06:00-07:00),Northbound,6,0,10,0,10,2018-03-19 06:00:00
2049,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,06:15:00,Early Morning (06:00-07:00),Northbound,6,15,24,2,26,2018-03-19 06:15:00
2050,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,06:30:00,Early Morning (06:00-07:00),Northbound,6,30,35,3,38,2018-03-19 06:30:00
2051,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,06:45:00,Early Morning (06:00-07:00),Northbound,6,45,54,11,65,2018-03-19 06:45:00
2052,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,07:00:00,AM peak (07:00-10:00),Northbound,7,0,85,10,95,2018-03-19 07:00:00
2053,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,07:15:00,AM peak (07:00-10:00),Northbound,7,15,121,8,129,2018-03-19 07:15:00
2054,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,07:30:00,AM peak (07:00-10:00),Northbound,7,30,178,15,193,2018-03-19 07:30:00
2055,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,07:45:00,AM peak (07:00-10:00),Northbound,7,45,220,17,237,2018-03-19 07:45:00
2056,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,08:00:00,AM peak (07:00-10:00),Northbound,8,0,261,21,282,2018-03-19 08:00:00
2057,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,08:15:00,AM peak (07:00-10:00),Northbound,8,15,292,19,311,2018-03-19 08:15:00
2058,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,08:30:00,AM peak (07:00-10:00),Northbound,8,30,314,17,331,2018-03-19 08:30:00
2059,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,08:45:00,AM peak (07:00-10:00),Northbound,8,45,282,14,296,2018-03-19 08:45:00
2060,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,09:00:00,AM peak (07:00-10:00),Northbound,9,0,180,12,192,2018-03-19 09:00:00
2061,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,09:15:00,AM peak (07:00-10:00),Northbound,9,15,118,10,128,2018-03-19 09:15:00
2062,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,09:30:00,AM peak (07:00-10:00),Northbound,9,30,75,11,86,2018-03-19 09:30:00
2063,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,09:45:00,AM peak (07:00-10:00),Northbound,9,45,59,5,64,2018-03-19 09:45:00
2064,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,10:00:00,Inter-peak (10:00-16:00),Northbound,10,0,48,7,55,2018-03-19 10:00:00
2065,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,10:15:00,Inter-peak (10:00-16:00),Northbound,10,15,37,2,39,2018-03-19 10:15:00
2066,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,10:30:00,Inter-peak (10:00-16:00),Northbound,10,30,26,3,29,2018-03-19 10:30:00
2067,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,10:45:00,Inter-peak (10:00-16:00),Northbound,10,45,14,3,17,2018-03-19 10:45:00
2068,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,11:00:00,Inter-peak (10:00-16:00),Northbound,11,0,12,2,14,2018-03-19 11:00:00
2069,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,11:15:00,Inter-peak (10:00-16:00),Northbound,11,15,14,1,15,2018-03-19 11:15:00
2070,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,11:30:00,Inter-peak (10:00-16:00),Northbound,11,30,11,1,12,2018-03-19 11:30:00
2071,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,11:45:00,Inter-peak (10:00-16:00),Northbound,11,45,8,2,10,2018-03-19 11:45:00
2072,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,12:00:00,Inter-peak (10:00-16:00),Northbound,12,0,9,0,9,2018-03-19 12:00:00
2073,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,12:15:00,Inter-peak (10:00-16:00),Northbound,12,15,7,2,9,2018-03-19 12:15:00
2074,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,12:30:00,Inter-peak (10:00-16:00),Northbound,12,30,8,1,9,2018-03-19 12:30:00
2075,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,12:45:00,Inter-peak (10:00-16:00),Northbound,12,45,5,2,7,2018-03-19 12:45:00
2076,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,13:00:00,Inter-peak (10:00-16:00),Northbound,13,0,6,1,7,2018-03-19 13:00:00
2077,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,13:15:00,Inter-peak (10:00-16:00),Northbound,13,15,10,0,10,2018-03-19 13:15:00
2078,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,13:30:00,Inter-peak (10:00-16:00),Northbound,13,30,4,2,6,2018-03-19 13:30:00
2079,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,13:45:00,Inter-peak (10:00-16:00),Northbound,13,45,5,3,8,2018-03-19 13:45:00
2080,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,14:00:00,Inter-peak (10:00-16:00),Northbound,14,0,4,0,4,2018-03-19 14:00:00
2081,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,14:15:00,Inter-peak (10:00-16:00),Northbound,14,15,10,0,10,2018-03-19 14:15:00
2082,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,14:30:00,Inter-peak (10:00-16:00),Northbound,14,30,5,2,7,2018-03-19 14:30:00
2083,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,14:45:00,Inter-peak (10:00-16:00),Northbound,14,45,6,1,7,2018-03-19 14:45:00
2084,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,15:00:00,Inter-peak (10:00-16:00),Northbound,15,0,10,1,11,2018-03-19 15:00:00
2085,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,15:15:00,Inter-peak (10:00-16:00),Northbound,15,15,5,3,8,2018-03-19 15:15:00
2086,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,15:30:00,Inter-peak (10:00-16:00),Northbound,15,30,9,0,9,2018-03-19 15:30:00
2087,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,15:45:00,Inter-peak (10:00-16:00),Northbound,15,45,6,3,9,2018-03-19 15:45:00
2088,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,16:00:00,PM peak (16:00-19:00),Northbound,16,0,11,2,13,2018-03-19 16:00:00
2089,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,16:15:00,PM peak (16:00-19:00),Northbound,16,15,10,5,15,2018-03-19 16:15:00
2090,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,16:30:00,PM peak (16:00-19:00),Northbound,16,30,12,2,14,2018-03-19 16:30:00
2091,2018 Q1 (January-March),2017-18 Q4,CENCY001,Millbank (south of Thorney Street),2018-03-19,Dry,16:45:00,PM peak (16:00-19:00),Northbound,16,45,21,3,24,2018-03-19 16:45:00
