,Survey wave (calendar quarter),Equivalent financial quarter,Site ID,Location,Survey date,Weather,Time,Period,Direction,Start hour,Start minute,Number of private cycles,Number of cycle hire bikes,Total cycles,date
44,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,17:00:00,PM peak (16:00-19:00),Northbound,17,0,16,1,17,2014-01-24 17:00:00
45,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,17:15:00,PM peak (16:00-19:00),Northbound,17,15,17,1,18,2014-01-24 17:15:00
46,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,17:30:00,PM peak (16:00-19:00),Northbound,17,30,18,3,21,2014-01-24 17:30:00
47,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,17:45:00,PM peak (16:00-19:00),Northbound,17,45,23,1,24,2014-01-24 17:45:00
48,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,18:00:00,PM peak (16:00-19:00),Northbound,18,0,17,1,18,2014-01-24 18:00:00
49,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,18:15:00,PM peak (16:00-19:00),Northbound,18,15,26,3,29,2014-01-24 18:15:00
50,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,18:30:00,PM peak (16:00-19:00),Northbound,18,30,22,2,24,2014-01-24 18:30:00
51,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,18:45:00,PM peak (16:00-19:00),Northbound,18,45,20,3,23,2014-01-24 18:45:00
52,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,19:00:00,Evening (19:00-22:00),Northbound,19,0,19,2,21,2014-01-24 19:00:00
53,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,19:15:00,Evening (19:00-22:00),Northbound,19,15,15,1,16,2014-01-24 19:15:00
54,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,19:30:00,Evening (19:00-22:00),Northbound,19,30,16,2,18,2014-01-24 19:30:00
55,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,19:45:00,Evening (19:00-22:00),Northbound,19,45,15,3,18,2014-01-24 19:45:00
56,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,20:00:00,Evening (19:00-22:00),Northbound,20,0,11,0,11,2014-01-24 20:00:00
57,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,20:15:00,Evening (19:00-22:00),Northbound,20,15,12,1,13,2014-01-24 20:15:00
58,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,20:30:00,Evening (19:00-22:00),Northbound,20,30,9,0,9,2014-01-24 20:30:00
59,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,20:45:00,Evening (19:00-22:00),Northbound,20,45,8,0,8,2014-01-24 20:45:00
60,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,21:00:00,Evening (19:00-22:00),Northbound,21,0,5,1,6,2014-01-24 21:00:00
61,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,21:15:00,Evening (19:00-22:00),Northbound,21,15,3,0,3,2014-01-24 21:15:00
62,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,21:30:00,Evening (19:00-22:00),Northbound,21,30,0,0,0,2014-01-24 21:30:00
63,2014 Q1 (January-March),2013-14 Q4,CENCY001,Millbank (south of Thorney Street),2014-01-24,Dry,21:45:00,Evening (19:00-22:00),Northbound,21,45,0,0,0,2014-01-24 21:45:00
128,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Wet,06:00:00,Early Morning (06:00-07:00),Northbound,6,0,10,0,10,2014-06-18 06:00:00
129,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Wet,06:15:00,Early Morning (06:00-07:00),Northbound,6,15,23,1,24,2014-06-18 06:15:00
130,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Wet,06:30:00,Early Morning (06:00-07:00),Northbound,6,30,65,0,65,2014-06-18 06:30:00
131,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Wet,06:45:00,Early Morning (06:00-07:00),Northbound,6,45,91,2,93,2014-06-18 06:45:00
132,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Wet,07:00:00,AM peak (07:00-10:00),Northbound,7,0,148,4,152,2014-06-18 07:00:00
133,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Wet,07:15:00,AM peak (07:00-10:00),Northbound,7,15,195,3,198,2014-06-18 07:15:00
134,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Wet,07:30:00,AM peak (07:00-10:00),Northbound,7,30,241,2,243,2014-06-18 07:30:00
135,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Wet,07:45:00,AM peak (07:00-10:00),Northbound,7,45,267,8,275,2014-06-18 07:45:00
136,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,08:00:00,AM peak (07:00-10:00),Northbound,8,0,298,8,306,2014-06-18 08:00:00
137,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,08:15:00,AM peak (07:00-10:00),Northbound,8,15,303,12,315,2014-06-18 08:15:00
138,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,08:30:00,AM peak (07:00-10:00),Northbound,8,30,290,5,295,2014-06-18 08:30:00
139,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,08:45:00,AM peak (07:00-10:00),Northbound,8,45,248,11,259,2014-06-18 08:45:00
140,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,09:00:00,AM peak (07:00-10:00),Northbound,9,0,157,5,162,2014-06-18 09:00:00
141,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,09:15:00,AM peak (07:00-10:00),Northbound,9,15,121,6,127,2014-06-18 09:15:00
142,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,09:30:00,AM peak (07:00-10:00),Northbound,9,30,63,2,65,2014-06-18 09:30:00
143,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,09:45:00,AM peak (07:00-10:00),Northbound,9,45,47,1,48,2014-06-18 09:45:00
144,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,10:00:00,Inter-peak (10:00-16:00),Northbound,10,0,35,3,38,2014-06-18 10:00:00
145,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,10:15:00,Inter-peak (10:00-16:00),Northbound,10,15,27,1,28,2014-06-18 10:15:00
146,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,10:30:00,Inter-peak (10:00-16:00),Northbound,10,30,30,2,32,2014-06-18 10:30:00
147,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,10:45:00,Inter-peak (10:00-16:00),Northbound,10,45,18,4,22,2014-06-18 10:45:00
148,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,11:00:00,Inter-peak (10:00-16:00),Northbound,11,0,15,2,17,2014-06-18 11:00:00
149,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,11:15:00,Inter-peak (10:00-16:00),Northbound,11,15,10,1,11,2014-06-18 11:15:00
150,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,11:30:00,Inter-peak (10:00-16:00),Northbound,11,30,12,3,15,2014-06-18 11:30:00
151,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,11:45:00,Inter-peak (10:00-16:00),Northbound,11,45,9,1,10,2014-06-18 11:45:00
152,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,12:00:00,Inter-peak (10:00-16:00),Northbound,12,0,10,2,12,2014-06-18 12:00:00
153,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,12:15:00,Inter-peak (10:00-16:00),Northbound,12,15,8,2,10,2014-06-18 12:15:00
154,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,12:30:00,Inter-peak (10:00-16:00),Northbound,12,30,7,5,12,2014-06-18 12:30:00
155,2014 Q2 (April-June),2014-15 Q1,CENCY001,Millbank (south of Thorney Street),2014-06-18,Dry,12:45:00,Inter-peak (10:00-16:00),Northbound,12,45,11,3,14,2014-06-18 12:45:00
